;ppi_1;ppi_2;ppi_3;ppi_6;ppi_12;ppi_24;ppi_49;ppi_98;ppi_195;ppi_391;ppi_781;ppi_1563;ppi_3125;ppi_6250;ppi_12500;ppi_25000;ppi_50000;ppi_100000;ppi_200000
3.714787821125056e-07;29.074053952423647;29.516851589339332;30.152444641594528;30.142457166223167;31.015991928629724;30.01096641817388;30.326692108567826;31.81145563312883;34.05958712012982;39.329008069347196;47.43429853465085;61.25595984850698;77.1070463521912;93.37971782678254;106.09925351799437;116.09212212653323;121.67494182640635;125.11226691615414;126.79472816937619
4.333250436363085e-07;30.28846523908628;30.747307919476825;31.377811431786462;31.365074643643908;32.26712291419517;31.306041878670293;31.70707369100952;33.33759224207414;35.85715232375356;41.63741805900813;50.48151715146081;65.04450510839635;81.20517099551051;96.96644636157544;108.68814960308032;117.77013314985199;122.67841884092324;125.70675421606207;127.15742139909403
5.054678826462308e-07;31.663419341535402;32.14029628287369;32.76490675516129;32.74866586288739;33.68218352719671;32.7691676001961;33.263006480962915;35.0503493526386;37.85817693509929;44.169161793519606;53.74149037063448;68.95000181400997;85.23881480512027;100.33571507405726;111.02956413652402;119.2492333400356;123.54950940716954;126.2184883123845;127.46825025409639
5.896215419326284e-07;33.213282763650305;33.710320404027655;34.328122075675815;34.307434175762474;35.27539232638091;34.41441887400538;35.008116230744534;36.9620083483905;40.071428977888075;46.92393444761095;57.19474321616268;72.9295509637793;89.16236842609484;103.46961301569846;113.13289466202806;120.54796120304854;124.30427158697026;126.65869578714496;127.73462877378671
6.87785662841664e-07;34.95163522256068;35.471074274622126;36.081030027752945;36.05472900177058;37.06001984716214;36.25474184221741;36.95452158637352;39.08262223798292;42.50210059074237;49.89566927182446;60.81460947699417;76.9368208094071;92.93526970884649;106.35804269108158;115.01101715380663;121.68449581946217;124.95720813789485;127.03716586883792;127.96291512290257
8.022928003275021e-07;36.8905509275411;37.43471303167031;38.03565742734603;38.002317935836516;39.04763903445004;38.30116980583477;39.11198950502276;41.41909093802823;45.150833807462725;53.07181329549813;64.56768642161225;80.92416942854658;96.52351442567458;108.99797790954247;116.67913601971973;122.67621662730339;125.52129954184335;127.36240880957952;128.15855968087075
9.358638486268136e-07;39.03975406427568;39.61099720726585;40.201633005906295;40.159536350991246;41.247255473434336;40.56192601319121;41.48699462048414;43.97418557727282;48.012808192362904;56.43290963863151;68.4148278535506;84.84489753300414;99.90058635682762;111.3924371857584;118.1537959151831;123.53941817427467;126.0080808153877;127.6418042341847;128.32623342972397
1.0916726945686993e-06;41.4056778391805;42.00634048878781;42.58524027384782;42.53234599823584;43.66435198442292;43.0414533097272;44.081734779547126;46.74559496676203;51.0769933923909;59.95259324285147;72.31264084456126;88.6554074478673;103.04779057061437;113.54931697451917;119.45207589081501;124.28914095047811;126.42774122355712;127.88173892613415;128.46993879641593
1.2734216347981918e-06;43.99047939423291;44.622814387355405;45.18842908194033;45.12235720364022;46.29990572224186;45.73943515506804;46.89317946337583;49.725089712819255;54.325679485608255;63.5980763409316;76.21537944267469;92.31705999321055;105.95404726863916;115.48020666353962;120.59096433941576;124.93910000381527;126.78923828910223;128.0877314731792;128.59310507532803
1.485429348961384e-06;46.79108757994633;47.45718813339305;48.00786418341836;47.92589368297112;49.14946034202241;48.649896466243234;49.91224981885002;52.89791449548738;57.734392052017576;67.33114915983549;80.07706688724302;95.797570492606;108.615255225923;117.19927598207838;121.5868991962093;125.50167537458215;127.10041513682474;128.26454404044;128.69867041487205
1.7327335192522596e-06;49.79838279530161;50.500104442490276;51.03411114083934;50.93320040805199;52.20235649455408;51.76049156137548;53.12324294894125;56.2425207444546;61.27227308450615;71.10965625533406;83.8536405524701;99.07185623205805;111.03335912860975;118.72229301756902;122.455450444167;125.98795062379078;127.36811647717438;128.41628163955303;128.78915216980198
2.021210534745111e-06;52.99662219459721;53.735505766649055;54.25107353142811;54.12790762587033;55.44123500620876;55.05209409357775;56.50361282544316;59.73073517132383;64.90296287096415;74.8893407441962;87.504910065382;102.1223242737684;113.21525614585153;120.06580223267284;123.21111942476561;126.40778130910776;127.59829923086836;128.54647968269856;128.86670721811927
2.3577151249013613e-06;56.36322330539622;57.14042499261396;57.63579436268519;57.48686192888238;58.8419225041424;58.49879444349967;60.02420071043849;63.3284221215487;68.58595667832336;78.62589162816927;90.99614975745317;104.938655417663;115.17166026022761;121.24646972832545;123.86723007845242;126.76988161420523;127.79613573102678;128.65818079017865;128.93318364653848
